Title,Sentiment
गिडीदहमा पर्यटक ल्याउन पदमार्ग,positive
मेयर्स कप महिला क्रिकेट : सुदूरको साहसलाई रोक्दै एपीएफ च्याम्पियन,positive
पूर्वमुख्यसचिव शाक्यको अन्त्येष्टि,negative
करफोकमा गुञ्जियो नेपथ्य ,positive
मलेसियाद्वारा जेठ १८ देखि आप्रवासी श्रमिक प्रवेशमा रोक,negative
शान्तिवाटिकाबाट धर्नामा बसेकालाई हटाइयो,negative
"रुसमा थप १६ नेपालीको मृत्यु, युद्धमा ज्यान गुमाउने नेपालीको संख्या ३३ पुग्यो  ",negative
लेखापरीक्षण प्रतिवेदन नबुझाउने दललाई आयोगले माग्यो स्पष्टीकरण,negative
"‘आज ग्याल्पो ल्होसार नै होइन, सरकारले दियो बिदा’",neutral
संसद् अधिवेशनको अन्त्य स्वभाविक प्रक्रियाबाट भएको हो : सञ्चारमन्त्री शर्मा,neutral
नाटक ‘म्लेच्छ’मा आदिवासीको कथा,positive
सन् १९९५ मा आजकै दिन : जोर्डनको संन्यास ,neutral
हिरामन्डी'को चर्चापछि मनीषा भन्छिन् : हामीले सक्दो राम्रो गर्ने हो ,neutral
फिल्म समीक्षा : मुक्ति मात्र मृगतृष्णा ! ,negative
युरोपा लिग : लिभरपुलले एटलान्टाको सामना गर्ने,neutral
"लुम्बिनी अन्तर्राष्ट्रिय म्याराथनको उपाधि पुनलाई, महिला हाफ म्याराथनमा श्रेष्ठ विजयी",positive
इटहरी गोल्डकपमा एपीएफ र सगरमाथा भिड्दै,neutral
ओली–नेपालबीच ‘सम्बन्ध सुधार’ भेटवार्ता,positive
"मिसन २०२६ मा पाँच खेल थपियो, खेलाडी पुगे १०२",neutral
पेबल आर्टमा ‘क्रिएसन’,positive
भूकम्पपीडित टहरामा उकुसमुकुस,negative
सुशासनका सवालमा म आफ्नो अरुको पार्टी भनेर आग्रह-पूर्वाग्रह राख्दिनँ : प्रधानमन्त्री दाहाल,positive
"दीपेन्द्रले नेपालको कप्तानी गर्ने, वेस्ट इन्डिजले पहिले ब्याटिङ गर्दै",neutral
आईपीएल २०२४ : मुम्बई लयमा फर्कँदै,positive
तथ्यपूर्ण सूचना सम्प्रेषणबाट मात्रै विश्वसनीयता कायम हुन्छ : पूर्वराष्ट्रपति भण्डारी,positive
"नेता जोगाउन हैन, सहकारीका बचतकर्ताको रकम फिर्ता गराउन अध्यादेश : मन्त्री गिरी",positive
प्राध्यापकको विज्ञापन सच्याउन अनेरास्ववियुको माग,negative
सहकारीको बचत अपचलन : गृहमन्त्री लामिछानेको संलग्नता छानबिनको माग गर्दै नेविसंघको प्रदर्शन,negative
आजकै दिन : बेनजिर भुट्टोको हत्या,negative
"सहकारीको बचत रिसोर्टमा लगानी, सञ्चालक सांसदविरुद्ध अदालतको पक्राउ पुर्जी",negative
छाडा चौपायाले जताततै समस्या,negative
नेपाल अमेरिका अन्तर्राष्ट्रिय चलचित्र महोत्सव' हुँदै,positive
"मुख्यसचिव अर्याल काममै, पूर्वप्रशासकहरू भन्छन् : ‘कर्मचारीको शिर निहुरियो’",negative
"चितवन विजयी, कृष्णको चार गोल",positive
अवैध हतियार बरामद गर्ने क्रममा रौतहटमा स्थानीयले गरे ढुंगामुडा प्रहार ,negative
गाउँ आएको बाटो'मा दयाहाङको नयाँ 'लुक' ,neutral
‘केटी हराएको सूचना’ मा नाजिर र सृष्टि,neutral
३ विश्वविद्यालयमा उपकुलपति रिक्त,neutral
‘आर्थिक समृद्धिका लागि स्थिर नीति अत्यावश्यक’,positive
विश्वविद्यालयबाट विद्यार्थीहरू सक्षम र चरित्रवान भएर निस्किनुपर्छ : प्रधानमन्त्री दाहाल,positive
मुसीकोटमा दोस्रो रूकुम कप सुरू ,neutral
जेठदेखि छायांकनमा 'ऊनको स्वीटर',positive
विश्वकप छनोट : कोलम्बियासँग २-१ ले हार्‍यो ब्राजिल,negative
अमेरिकासँगको खेलमा दीपेन्द्र फर्किने,positive
बालसाहित्यकार शान्तदास मानन्धर' म्युजिक भिडियो सार्वजनिक,positive
भूकम्पबाट धनजनको क्षतिप्रति रुसी राष्ट्रपति पुटिनद्वारा दुःख व्यक्त,negative
गायनमा ‘भर्सटायल’ अस्मिता,positive
अन्तरकलेज क्रिकेटको फाइनलमा हेटौंडा र पर्सा भिड्ने,neutral
१५ मिनेटका लागि संसद स्थगित,neutral
आर्चर इंग्ल्यान्ड टोलीमा,positive
दक्षिण कोरियाली राष्ट्रपतिविरुद्ध महाभियोग प्रस्ताव पेस ,negative
अध्यक्ष ओलीप्रति कांग्रेसले लगाएको आरोपको क्षमा नमागे राजनीतिक प्रतिवादमा उत्रिन्छौं :  एमाले उपाध्यक्ष पौडेल,negative
शुक्लाफाँटामा बाघको नामकरण,neutral
मनिताले एसियन जुडोमा खेल्ने,positive
संसद्‍मा कांग्रेस सांसद बडूको प्रश्न : कृषिमन्त्री कहाँ हुनुहुन्छ ?,neutral
संघीय मामिलामन्त्री नै भन्छन्- 'कर्मचारी सरुवामा राजनीतिक दबाब थेग्नै सकिएन' ,negative
नेपाल र बहराइनबीचको खेल दशरथ रंगशालामा नहुने,positive
डम्पिङ साइटमा गाडिएको ९४ अर्बको हार्डड्राइभको खोजी,neutral
बुन्डेसलिगामा बायरको अपराजित यात्राको कीर्तिमान,positive
भुइँखेल काठमाडौं र फ्रेन्डसीप तनहुँ सेमीफाइनलमा,positive
ओलम्पिक क्वालिफाइङ : अञ्जनी पराजित,negative
नेपाल सुपर लिग २०२३ : दोस्रो क्वालिफायरमा भिड्दै पोखरा र ललितपुर,positive
एभरेस्ट म्याराथनको उपाधि कुलुङ र शेर्पालाई,positive
हेटौंडामा चैत अन्तिम साताबाट मेयर कप,neutral
बुढासुब्बा गोल्डकप फाइनल आज : ढुक्क छन् एनआरटी र मोरङ,positive
सुदूरपश्चिममा लिएको अडानबाट गठबन्धन बचाउन पछि हटे ओली,negative
सूर्य नेपाल एनपीजीए म्याच–प्ले: उपाधिका लागि दिनेश र जयराम भिड्ने,positive
मलेसियाविरुद्धको मैत्रीपूर्ण खेलमा नेपालको हार,negative
‘एभरेष्ट एक्सट्रिम १३५ माइल ट्रेल' जिरीबाट सुरु,positive
केयूमा अन्तर्राष्ट्रिय उपकुलपति सभा हुँदै,positive
राष्ट्रिय भलिबल उपाधि एपीएफले जित्यो,positive
क्यानद्वारा सन्दीप लामिछानेको निलम्बन फुकुवा ,positive
एमाले परिषद् बैठक : छ समूहमा छलफल सुरु,neutral
मुकेश अम्बानीको रिलायन्सले निष्कासन गर्‍यो ४२ हजार कर्मचारी,negative
सुदूरपश्चिम विश्वविद्यालयको उपकुलपतिमा ३ जना सिफारिस,positive
केकीको 'डरलाग्दो' अवतार !,positive
"नातावादबारे अजय देवगन भन्छन्, 'सबैले उत्तिकै मेहनत गर्नुपर्छ'",positive
व्यापार-व्यवसाय फस्टाएमात्र श्रमअधिकार स्थापित हुन्छ : मुख्यमन्त्री अधिकारी,neutral
रंगमञ्चमा ‘मनसरा’ निर्देशकको कविता,positive
अमेरिकामा करातेकी अनुलाई स्वर्ण,positive
ज्ञानोदय र चाँदवाग विजयी,positive
उपप्रधानमन्त्री श्रेष्ठ र जापानी विदेशमन्त्री योकोबीच भेटवार्ता,neutral
सन् २०१२ मा आजकै दिन : तेन्दुलकरको रेकर्ड,positive
पञ्जाबको सान्त्वना जित,positive
३०९ स्थानीय तहमा बाल अधिकार समिति गठन,positive
भुइँखेललाई रोक्दै फ्रेन्डसिप तनहुँ च्याम्पियन,positive
नारायणकाजी श्रेष्ठलाई फेरि परराष्ट्र मन्त्रालयको जिम्मा,neutral
द अनब्रेकेवल अगस्त्य -च्याप्टर वान' ले ब्रेक गर्न नसकेको रेकर्ड,negative
महिला न्यायाधीशको प्रथम राष्ट्रिय सम्मेलन : ‘नेतृत्वमा महिला पुग्दा पुरुष अहंकारमा चोट पर्दोरहेछ’,positive
उपभोक्ताको हित संरक्षणसम्बन्धी प्रभावकारी नीति बनाइ कार्यान्वयन गर्नेछु : मन्त्री भण्डारी,positive
गणतन्त्र स्थापनापछि भएको विकास राजतन्त्रकालको भन्दा कयौँ गुणा बढी छ : प्रधानमन्त्री दाहाल,positive
मिस नेपाल २०२४' घोषणा ,positive
नेविसंघ बैठक : ०८१ पुसभित्र महाधिवेशन गर्ने निर्णय,neutral
कस्तो रहनेछ आजको मौसम ?,positive
राष्ट्रिय खेल सबलीकरण कार्यक्रम सम्पन्न,positive
मयन्कको गति,neutral
वन डढेलो नियन्त्रणका लागि सिसी क्यामरा जडान,positive
रुसी सेनामा भर्ती भएका नेपालीको परिवार अमरण अनशनमा बसेको आज ११ औं दिन,negative
‘खामोसी’की मनीषा २८ वर्षपछि ‘हिरामन्डी’मा,neutral
उपमेयर कपको उपाधि मेरिङदेनलाई,positive
सन्देशमूलक ‘स्वीकार’,positive
‘संकल्प ज्येष्ठ नागरिक ग्राम’ निर्माणको अनुसन्धान सम्बन्धी रिटमा कारण देखाउ आदेश,neutral
फिल्ममा जमेकी मिरुना,positive
आइकिडो आइकिकाई अन्तर्राष्ट्रिय सेमिनार,positive
नेपालले पीएनजीसँग फाइनल खेल्ने,positive
लोकसभा चुनाव : दार्जिलिङमा मोदीविरुद्ध ममता ,negative
भारोत्तोलक सागरद्वारा राष्ट्रिय कीर्तिमानमा सुधार,positive
कुस्तीवाज लोपेजलाई लगातार पाँच स्वर्ण,positive
दोलखा फिल्म सिटी र बनेपामा छायांकन स्टुडियो बनाउने सरकारको घोषणा,positive
"ओलम्पिक खेलाडीहरुलाई गण्डकी सरकारको सम्मान, मासिक ५ हजार दिने",positive
प्रधानमन्त्रीसहित शीर्ष नेताहरूसँग छलफल गर्दै सभामुख,neutral
सन् २०१२ मा आजकै दिन : तेन्दुलकरको रेकर्ड,positive
सिरोहियाको गिरफ्तारी संविधान र विधिको शासनविपरीत : पूर्वराष्ट्रपति डा. यादव,negative
विश्वकपले अमेरिकी क्रिकेट फेरिने विश्वास,positive
संक्रमणकालीन न्यायसँग सम्बन्धित दुई आयोगको पदाधिकारी नियुक्तिका लागि सिफारिस समिति गठन,positive
दिवाकरको निर्देशनमा ‘नरसिंहा’,neutral
केपी ओली कप : एनआरटीलाई हराएर मछिन्द्र फेरि च्याम्पियन,positive
नेपाल यूएन-वुमनको कार्यकारी बोर्डको सदस्यमा निर्वाचित,positive
कांग्रेसलाई कानुनमन्त्री गिरीको आग्रह- 'संसद्को समस्या संवादबाटै समाधान गरौं',neutral
‘फेक न्युज’ फैलाउनेविरुद्ध फौजदारी मुद्दा,positive
प्रभावशाली आलिया र देव,positive
"नेप्से परिसूचक स्थिर, कारोबार रकम बढ्यो",positive
रुपन्देही सुपर लिग : स्टार क्लब १ सय ४६ रनले विजयी,positive
डिग्री माइला- दृश्यभन्दा संवाद हाबी,positive
गायनमा ‘भर्सटायल’ अस्मिता,positive
डिग्री माइला- दृश्यभन्दा संवाद हाबी,neutral
पक्राउको होइन प्रवृत्तिको विरोध गरेका हौं’ : अधिवक्ता रावल,neutral
युवा रोजगारको लागि ३ अर्ब बजेट विनियोजन ,positive
आईसीसी ट्वान्टी–२० विश्वकप : विश्व क्रिकेटसामु नेपाललाई अवसर,positive
टुट्यो गठबन्धन : छुट्यो प्रधानमन्त्री,negative
"नाम, आवाज र उपनाम जोगाउन ज्याकी अदालतमा",neutral
नेपाल अमेरिका अन्तर्राष्ट्रिय चलचित्र महोत्सव' हुँदै,positive
हैदराबादमाथि चेन्नईको सहज जित,positive
खराब मौसमको कारण देखाएर भैरहवामा तीनवटा वायुसेवाले अन्तर्राष्ट्रिय उडान स्थगन गर्दै,negative
माहिका र अभिलाषाको दोहोरो जित,positive
संसद्‌मा नीति तथा कार्यक्रम प्रस्तुत गर्दा कुनै अवरोध हुँदैन : प्रधानमन्त्री दाहाल,positive
ओली–हमाल 'सिनेमा संवाद',neutral
राष्ट्रिय सभा अध्यक्षको निर्वाचन फागुन २९ गते हुने,neutral
एसएमएस कप : उपाधिका लागि नेपाल र गुजरात भिड्दै,neutral
आम जनता पार्टी र समाजवादी जनएकता पार्टी नेपालबीच एकता,positive
रम्यता लिम्बू भन्छिन्- 'किम्फलाई नयाँ मोडमा लैजाउनुपर्नेछ',positive
आसलाग्दो पहिलो चरण,positive
सानो संसार'को छायांकन जेठ ३० देखि,positive
हिमालयमा जलवायु परिवर्तन असरको मुद्दा उठाउन जेठ ९-१० मा अन्तर्राष्ट्रिय संवाद,positive
"सरकार अधिनायकवाद उन्मुख रहेको कांग्रेसको निष्कर्ष, काठमाडौंमा विरोध प्रदर्शन गर्ने",negative
काठमाडौं जिल्लामा कक्षा १२ को परीक्षा केन्द्र स्वचालित विधिबाट तोकियो,positive
टेनिसमा सक्षम र आरभको जोडी विजयी,positive
एपीएफ लगातार जितसहित प्लेअफमा,positive
"सरकारमा सहभागी बनेपछि रास्वपा भन्छ : आसन फेरिएको हो, चरित्र फेरिएको छैन",negative
उपप्रधान एवं स्वास्थ्यमन्त्री उपेन्द्र यादवले दिए राजीनामा,negative
सिटी लगातार च्याम्पियन,positive
आर्मी र पुलिस विजयी हुँदा एपीएफ बाहिरियो,negative
अन्डर १५ को बुद्धिचाल प्रतियोगितामा श्रेष्ठ र बुढाथोकी पहिलो,positive
दिनमै हजारौं पर्यटक पुग्छन् निसिद्ध दरबार,positive
विश्वद्वीप पाण्डे माओवादी केन्द्रमा फर्किए,neutral
बुबाहरूमा समर्पित 'गाउँ आएको बाटो',neutral
पोसाकका लागि टेबलटेनिसको ३६१ डिग्रीसँग सम्झौता,neutral
कर्णालीमा मिस नेपालको अडिसन बुधबार हुने,positive
ईयूले भन्यो- 'नागरिक उड्डयन विभाजनसम्बन्धी विधेयक पारित भए प्रतिबन्ध खुल्न सक्छ',neutral
आयुष्नोभा बनिन् 'मिस इन्टरकन्टिनेन्टल नेपाल',positive
एपीएफ टिम च्याम्पियन,positive
आयोजक बीएनए बास्केटबल क्वाटरफाइनलमा,positive
सहकारी ठगी प्रकरण : संसदीय छानबिन समितिको कार्यादेश टुंग्याउन कार्यदलको बैठक बस्दै,neutral
उच्च अदालत पोखराको मुख्य न्यायाधीशमा बागचन्द सिफारिस,positive
बुबाहरूमा समर्पित 'गाउँ आएको बाटो',positive
भ्रामक अडियो सार्वजनिक गर्नेलाई कारबाही गर्न अधिवक्ताद्वयको माग,negative
धरानलाई हराउँदै विराटनगर सेमिफाइनलमा ,positive
‘राष्ट्रपति जलवायु परिवर्तन व्यवस्थापन कार्यक्रम’ सञ्चालन गरिने,positive
नेपालको विकासमा रूसको ठूलो सहयोग छ : उपप्रधानमन्त्री श्रेष्ठ,positive
एपीएफ र गण्डकी राष्ट्रिय भलिबलको फाइनलमा,positive
राखेप कभर्डहलमा बास्केटबल सुरु,neutral
संघर्षपछिको खुसी नाटकमा,positive
महिला फुटबल टोली सम्मानित ,positive
प्रभावशाली आलिया र देव,positive
प्रधानमन्त्रीलाई भेटे विपिन जोशीका परिवारले,neutral
राजस्व दर उच्च हुँदा उपभोग्य वस्तुको तस्करी मौलायो,negative
"सकियो लगानी सम्मेलन, साढे ६ अर्ब रुपैयाँको लगानी सम्झौता",positive
चन्द्रागिरि १६ स्वर्णसहित च्याम्पियन,positive
इलाममा गुञ्जदै नेपथ्य,neutral
इंग्लिस प्रिमियर लिग : म्यानचेस्टर डर्बीमा सिटीको पुनर्आगमन जित,positive
"जब देशमा अप्ठ्यारो परिस्थिति आउँछ, तब कांग्रेस र एमाले एकै बिन्दुमा उभिएको विगत छ : कोइराला",neutral
सुप्रिम सहकारी ठगीमा जीबी राईसहित २८ प्रतिवादी,negative
आगामी आर्थिक वर्षमा १६ लाख पर्यटन भित्र्याउने लक्ष्य पूरा हुन्छ : मन्त्री तामाङ,positive
स्वस्तिश्री र रिब्स आफ्नो विधामा च्याम्पियन,positive
हलिउड/बलिउडलाई नेपालमा छायांकनका लागि आकर्षित गरिने,positive
लिभरपुल र आर्सनल हार्दा सिटीलाई फाइदा,neutral
जीतपुरसिमरा गोल्डकप : सोमबार मच्छिन्द्र र पुलिसको उपाधि भीडन्त,positive
लखनउमाथि कोलकाताको सजिलो जित,positive
छोरालाई जिउँदै जलाउनेलाई सजाय दिलाउन जो साढे १६ वर्ष लडे,positive
तीन फिल्म हलमा,neutral
अञ्जान शाक्यलाई राष्ट्रिय सभा सदस्यमा मनोनीत गर्न सरकारको सिफारिस,neutral
नागरिक लगानी कोष र लोअर इर्खुवा हाइड्रोबीच सेयर प्रत्याभूति सम्झौता,positive
‘वार टु’ मा रजाटोसको इन्ट्री,neutral
स्वाटिकले जितिन् फ्रेन्च ओपनको उपाधि,positive
प्रधानमन्त्रीसामु चुनौतीका चाङ,negative
करिअर बनाउन फिल्म अध्ययन,positive
प्रधानमन्त्रीलाई सम्पादकहरूको संयुक्त पत्र : प्रेसमाथि दबाब र त्रास सिर्जना गर्न सिरोहियालाई गिरफ्तार गरियो,negative
बेसीसहर र लालीगुराँसको जित,positive
जुम्लाकी राज्यलक्ष्मी र मुगुका अक्कलले जिते चौथो रारा ट्रेल रनको उपाधी  ,positive
त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट सुनसहित दुई जना पक्राउ,negative
सन् १९७० मा आजकै दिन : ‘द बिटल्स’ को अन्तिम गीत,positive
सम्पत्ति शुद्धीकरण विधेयक राष्ट्रिय सभाबाट पारित,positive
नेपाली राष्ट्रिय फुटबल टोली इंग्ल्यान्ड 'सी' सँग खेल्दै,neutral
इजलासमा लामिछाने र सहकारीपीडितबीच वादविवाद,negative
युरोपा लिग : लिभरपुलको चुनौती समाप्त,negative
किन खुल्दैन भारतीय निर्वाचन आयोगको वेबसाइट ?,negative
राष्ट्रपतिलाई धन्यवाद प्रस्ताव पारित नभएकोबारे सभामुख र प्रधानमन्त्रीबीच कुराकानी,neutral
"रिलायन्स धागो निर्यातमा अग्रणी, ३५ सयलाई रोजगारी",positive
"छानबिन समिति बनाए हुन्छ, तर संसद्‌मा बोल्न पाउनुपर्छ : गृहमन्त्री लामिछाने",neutral
रमेश र ऐश्वर्य कान्तिपुर हाफ म्याराथनमा ह्विलचेयरतर्फ च्याम्पियन,positive
फिल्म समीक्षा : मुक्ति मात्र मृगतृष्णा ! ,neutral
अन्तरप्रदेश खेलकुदमा कोसीबाट दुई सय ५३ खेलाडीले प्रतिष्पर्धा गर्ने,neutral
रोहितको शतक ओझेलमा पार्दै चेन्नई विजयी,positive
सरकारकै नेतृत्वकर्ता पार्टी विभाजन गराउन लाग्नुभयो : यादव,negative
घरज्वाइँ'मा दया र मिरुनाको जोडी,neutral
महिला टी–२० सिरिज : जापानसामु जितका लागि ११६ रनको लक्ष्य   ,neutral
किरणको सारंगीको धुन...,positive
ऋषेश्वर र चित्लाङ फाइनलमा,positive
चिकित्सा आयोगबाट दोषी ठहरिएकालाई कारबाही गर्न पत्राचार,negative
‘लुम्बिनी सम्मेलन स्थगनले अन्तर्राष्ट्रिय छविमा असर’,negative
"नाम, आवाज र उपनाम जोगाउन ज्याकी अदालतमा",neutral
युरोपेली च्याम्पियन्स लिग : पीएसजीमाथि बार्सिलोनालाई झिनो अग्रता,neutral
गरिब दलितहरू अझै आधारभूत शिक्षाबाटै वञ्चित छन् : जीवन परियार,negative
मिटरब्याज तथा ठगीविरुद्ध संघर्ष समितिका अध्यक्षसहित १६ जना पक्राउ,negative
धान झुल्ने फाँटमा केरा बगान,neutral
जाजरकोट भूकम्प : निजी आवास पुनर्निर्माणका लागि २० हजार डकर्मी चाहिने,neutral
"चुनावअघि 'नो नट अगेन', अहिले 'अगेन एन्ड अगेन' सरकारमा : शर्मा ",negative
दार्चुलादेखि पेरिस ओलम्पिकसम्म,positive
पर्यटन बोर्डको सीइओ नियुक्ति प्रक्रिया अघि नबढाउन उच्च अदालतको अन्तरिम आदेश,neutral
बेलायत जाने नेपाली फुटबल टोलीको बिदाइ,positive
उपप्रधानमन्त्री श्रेष्ठको अर्थपूर्ण सद्‍भावना भ्रमण,positive
इलाममा गुञ्जदै नेपथ्य,positive
"गृहमन्त्रीको बचाउमा ओली, भने - उजुरी दर्ताकै भरमा दोषी हुने भए मन्त्री र सांसद खाली हुन्छन्",negative
हुरीसँगै फैलिएको आगोले बस्ती सखाप,negative
प्रभावशाली आलिया र देव,positive
जसले छोराको हरेक रनको हिसाब राख्छिन्,positive
सन् १९१३ मा आजकै दिन : भारतमा पहिलो फिचर फिल्म,neutral
आईपीएल २०२४ : गुजरातसँग राजस्थानको जित यात्रामा पूर्णविराम,negative
विश्वविद्यालयमा गुण्डागर्दी स्वीकार्य छैन : मन्त्री भट्टराई,positive
"अहिलेको राजनीतिक परिस्थितिअनुसार को सरकारमा हुन्छ, को हुँदैन भन्न सकिँदैन : अध्यक्ष ओली",neutral
इलाम-२ मा २० जनाको उम्मेदवारी,neutral
जेसिस र न्यु होराइजन ‘ए’ फाइनलमा,positive
त्रिविको उपकुलपतिमा केशरजंग बराल नियुक्त ,positive
चैतदेखि कौशीमा 'उबुर उबुर टिक्की',neutral
सम्भाव्यता अध्ययनको ४१ वर्षपछि दैलेखमा पेट्रोलियम पदार्थ खोज्न ड्रिलिङ गरिँदै,neutral
संघीय लोकतान्त्रिक गणतन्त्रप्रति सबै नेता एक ठाउँमा हुनुहुन्छ : प्रधानमन्त्री,neutral
प्रशिक्षक खत्री एटीयू क्याडेट कमिटी सदस्यमा,positive
केन्द्रीय सदस्य कार्कीले लामिछानेलाई भने- सहकारीको विषयमा 'जस्तो कसीमा जाँचिनुपर्ने हो तयार होऔं',neutral
‘भिजिट भिसा’ को घोषणा,neutral
बहराइनमाथि दक्षिण कोरियाको प्रभावशाली जित,positive
यी हुन् नयाँ गठबन्धन सरकारमा रास्वपाबाट मन्त्री बन्नेहरू,neutral
पाकिस्तानी दूतावासको विजयी सुरुवात,positive
स्मिताको स्वर र प्रियंकाको अभिनय रहेको 'लुकाउने ठाउँ छैन' गीत सार्वजनिक,neutral
महालक्ष्मी वडा अध्यक्ष कप चेस सुरु,neutral
राजस्थान रोयल्सको विजयी सुरुआत,positive
खुला लनटेनिस : पुरुष एकलतर्फको उपाधि प्रदीप खड्काले जिते,positive
अटिजम भएका बालबालिकामैत्री विद्यालय सञ्चालन गर्ने तयारीमा काठमाडौं महानगर,positive
प्रदेशस्तरीय भलिबलमा नवलपुर र पर्वत विजयी,positive
डिग्री माइला- दृश्यभन्दा संवाद हाबी,neutral
कर्णालीमा मिस नेपाल अडिसन,positive
सुप्रिम सहकारीपीडितद्वारा गृहमन्त्री लामिछानेमाथि छानबिन माग,negative
स्वतन्त्र प्रेस बिना स्वतन्त्र न्यायपालिकाको कल्पना गर्न सकिँदैन : प्रधानन्यायाधीश श्रेष्ठ,neutral
एपीएफको अपराजित यात्रा,positive
रक्तदानलाई अभियानकै रुपमा सञ्चालन गर्नुपर्छ : सञ्चारमन्त्री शर्मा,positive
गाजामा युद्धबाट मृत्यु हुनेको संख्या २० हजार २८५ पुग्यो,negative
"गृहमन्त्री लामिछानेबारे प्रधानमन्त्रीको जवाफमा कांग्रेसले बुझाएन चित्त, संसदीय छानबिन माग",negative
‘बुढीपोल्ली’ मा सुदूरका कथा,neutral
‘लेभरकुजन’ अब रहेन ‘नेभरकुजन’,positive
भरतपुर मेयर्स कप क्रिकेटको उपाधि अर्किडलाई ,positive
सहारा सहकारीका पीडित बचतकर्ता सोध्छन् : जीबी राई अहिलेसम्म किन समातिएनन् ?,negative
कांग्रेस सभापति देउवालाई भेट्न प्रधानमन्त्री दाहाल बुढानीलकण्ठमा,neutral
मण्डलामा 'अन्धवेग' मञ्चन हुँदै,neutral
अनमोल केसी भन्छन्– ‘जीवनको बेस्ट फिल्म गर्नै बाँकी छ’,positive
"सरकार र लघुवित्त संघर्ष समितिबीच ६ बुँदे सहमति, कार्यदल गठन गरिने",positive
हमाल र ओलीबीच फिल्म संवाद हुने,neutral
नेपाल र बहराइनको खेल दशरथ रंगशालामा नहुने,neutral
अहिलेको गठबन्धन वैचारिक र सैद्धान्तिक हिसाबले आवश्यक छ : यादव ,neutral
बहुमतको बलमा संविधान संशोधन हुन्न : उपप्रधानमन्त्री सिंह,neutral
एफए कप जितेपछि टेन हागको भविष्य अनिश्चित,negative
कंगनाले आलियालाई गलत ढंगले निशाना बनाइन् ,negative
बडी बिल्डिङका २८ प्रशिक्षक तयार,positive
पूर्वमुख्यसचिव शाक्यको अन्त्येष्टि,negative
प्रज्ञा कुञ्जको नाट्य उत्सव सम्पन्न,neutral
प्रकाश स्मृति भलिबलको फाइनल बुधबार,positive
"ज्ञान निकेतन, एनसीसीएस र एआईए विजेता",positive
काभ्रेको रोशीमा अज्ञात समूहले काटिदियो बुद्धचित्तको रुख,negative
दाहाल र भट्टराईको एकतामा ‘ब्रेक’,neutral
टेरामक्स प्रविधि खरिद–बिक्री कानुनसम्मत नभएको लेखा समितिको ठहर,negative
स्टार्क विश्वकपलाई तयार,positive
कर्णालीमा मिस नेपालको अडिसन बुधबार हुने,neutral
एभर्टनलाई हराएर सिटी शीर्ष चारमा,positive
रंगेली' निर्देशक अर्जुन-'सेन्सरमा फिल्म हेर्दा हल्ला मात्रै !,neutral
